N,P,K,temperature,humidity,ph,moisture,crop,fertilizer
92.56,45.08,11.32,39.7,80.33,5.75,75.25,brinjal,Potash
31.14,22.74,60.79,27.59,74.65,5.91,67.27,rice,Urea
33.35,39.82,53.74,38.4,50.78,6.19,64.25,tomato,Urea
58.71,3.28,91.27,24.96,64.66,5.83,22.03,tomato,DAP
36.24,58.06,63.23,20.26,69.81,5.86,77.66,tomato,Urea
55.73,86.06,53.51,23.69,47.98,6.12,43.84,wheat,NPK 19:19:19
79.98,34.94,46.82,32.5,52.66,7.17,55.25,tomato,Compost
71.41,52.76,53.45,29.62,59.82,7.03,26.18,sugarcane,DAP
37.33,27.07,64.4,28.17,31.52,5.81,62.96,sugarcane,Urea
40.8,55.17,25.39,23.92,60.33,6.69,40.36,sugarcane,Potash
17.85,65.27,23.82,21.99,44.59,6.94,71.34,wheat,Urea
96.26,94.44,14.11,28.13,49.44,5.67,57.99,tomato,Potash
20.79,2.65,18.14,31.66,55.29,7.29,69.05,maize,NPK 19:19:19
25.94,37.97,59.03,25.36,67.45,6.32,53.12,rice,Urea
86.11,21.95,97.45,35.6,36.85,6.63,79.12,brinjal,DAP
79.99,42.52,2.25,25.37,62.5,6.77,35.47,cotton,Potash
64.51,42.17,13.23,38.01,71.47,6.87,69.36,sugarcane,Potash
81.51,49.81,6.72,28.1,59.85,6.94,26.39,cotton,Potash
13.69,90.0,87.39,31.95,66.03,6.83,30.52,sugarcane,Urea
83.81,40.44,77.09,28.44,51.23,7.42,31.06,sugarcane,Potash
77.1,6.82,83.71,28.74,84.93,6.94,56.62,cotton,DAP
47.61,66.37,93.68,34.65,42.9,5.56,35.74,wheat,NPK 19:19:19
84.64,95.52,15.47,32.47,58.45,6.19,41.09,tomato,Potash
49.55,68.84,43.48,24.93,79.15,7.1,61.68,cotton,Organic Mix
59.02,36.1,9.16,38.35,38.21,7.4,46.76,brinjal,Potash
8.67,95.82,75.84,32.78,75.54,6.95,58.23,tomato,Urea
90.34,64.67,69.32,21.03,70.2,5.59,55.3,tomato,Organic Mix
55.58,47.32,31.29,22.41,73.86,5.89,26.92,wheat,NPK 19:19:19
79.53,74.51,5.49,29.1,61.35,6.79,59.01,wheat,Potash
56.07,48.11,88.5,30.61,56.46,6.31,54.35,tomato,NPK 19:19:19
66.17,73.79,52.02,28.54,82.6,6.34,47.72,rice,DAP
0.02,18.55,38.4,38.65,34.2,5.52,23.16,tomato,Urea
40.19,47.99,62.75,37.47,89.05,7.04,45.07,brinjal,NPK 19:19:19
73.23,0.33,46.73,25.94,81.17,6.93,55.35,tomato,DAP
91.03,4.51,10.95,27.83,37.47,7.41,67.88,sugarcane,DAP
8.94,41.76,87.91,38.89,58.04,6.73,30.02,maize,Urea
6.5,40.16,83.78,24.61,79.84,5.74,22.82,tomato,Urea
22.05,18.64,77.96,27.0,33.47,7.44,73.03,wheat,Urea
59.73,52.5,26.02,30.3,59.47,7.49,73.85,wheat,Potash
22.44,22.38,53.7,31.86,64.81,5.68,72.65,wheat,Urea
27.3,47.67,4.44,37.04,32.13,6.16,75.9,wheat,Urea
8.7,40.85,37.27,25.2,73.41,6.49,24.86,maize,Urea
10.95,89.45,99.15,21.23,82.97,6.53,74.39,wheat,Urea
34.78,67.8,56.57,25.34,82.72,7.09,59.51,tomato,Urea
15.73,16.04,33.4,24.77,85.81,5.71,61.94,maize,Urea
15.86,88.09,87.18,20.58,79.55,5.76,40.11,cotton,Urea
90.87,0.11,55.62,35.13,45.52,5.89,25.05,wheat,DAP
98.12,63.18,25.98,32.68,62.4,7.06,26.42,cotton,Potash
1.84,43.22,84.01,27.84,40.77,7.01,67.33,maize,Urea
68.79,6.78,30.1,34.16,34.04,6.66,40.75,rice,DAP
7.47,85.24,99.01,33.52,56.76,6.8,55.66,maize,Urea
2.46,2.21,32.36,29.77,76.22,6.87,46.75,cotton,Urea
46.85,94.43,10.22,37.08,61.62,7.15,37.9,rice,Potash
77.28,23.01,13.13,37.36,87.79,5.56,63.88,brinjal,DAP
41.97,63.85,39.76,25.48,89.04,6.32,73.65,brinjal,Compost
21.31,3.11,65.17,27.37,81.86,6.45,78.09,cotton,Urea
20.37,9.12,15.37,29.07,61.82,5.54,67.81,maize,NPK 19:19:19
91.18,96.75,18.55,29.24,30.07,6.7,56.44,maize,Potash
43.03,20.05,49.16,21.28,64.92,6.04,67.85,wheat,DAP
98.44,14.96,46.46,33.61,53.73,7.45,63.31,wheat,DAP
69.5,86.01,77.99,20.79,58.83,5.71,34.52,tomato,Compost
14.25,49.89,61.82,34.05,63.58,5.52,39.59,rice,Urea
53.42,88.25,8.25,36.49,51.47,6.14,78.65,rice,Potash
68.95,80.06,20.02,23.35,36.27,6.77,62.39,cotton,Potash
59.48,61.66,61.29,25.98,86.11,7.39,57.52,maize,Organic Mix
61.23,48.44,66.08,31.06,65.85,7.07,48.85,brinjal,NPK 19:19:19
16.4,43.86,72.48,31.87,69.02,6.46,56.94,wheat,Urea
97.59,33.69,18.21,35.79,69.52,6.5,53.32,rice,Potash
65.33,33.23,54.25,29.87,34.89,6.31,33.23,cotton,NPK 19:19:19
84.05,17.42,96.08,28.32,80.77,6.76,64.12,cotton,DAP
98.76,4.01,86.7,31.57,56.32,6.95,49.2,rice,DAP
59.77,79.3,65.5,39.84,47.03,6.22,43.03,rice,Urea
73.31,13.16,71.58,38.18,40.78,5.98,78.28,brinjal,DAP
41.3,6.91,43.72,21.95,54.3,6.69,54.76,maize,DAP
59.3,16.35,39.11,39.39,45.49,6.81,39.51,maize,DAP
13.09,96.98,45.38,24.72,34.41,5.84,51.19,rice,Urea
66.94,14.58,44.94,31.76,86.92,6.01,41.56,maize,DAP
3.67,73.64,66.38,29.49,80.65,7.11,55.12,brinjal,Urea
55.81,53.99,3.42,39.73,37.38,5.96,23.1,tomato,Potash
12.21,45.22,93.39,26.32,60.43,5.58,28.9,sugarcane,Urea
47.99,68.6,1.74,26.46,88.39,6.66,35.25,wheat,Potash
48.88,66.69,13.97,20.6,48.48,6.91,32.11,brinjal,Potash
16.24,18.83,73.08,23.12,44.07,7.43,35.32,tomato,Urea
83.81,94.46,68.32,29.94,67.07,7.24,54.24,maize,DAP
93.09,68.95,67.65,24.31,69.53,6.29,59.07,rice,DAP
65.78,99.94,4.82,39.54,54.41,7.24,66.94,sugarcane,Potash
28.87,10.91,65.05,35.3,85.54,6.38,74.08,sugarcane,Urea
79.78,43.56,81.78,22.4,62.67,5.51,39.48,maize,Urea
39.62,69.55,38.86,28.97,44.25,6.25,33.64,rice,Urea
58.71,16.84,64.26,35.19,60.03,6.58,77.09,rice,DAP
47.92,2.56,34.12,27.6,53.93,6.66,52.02,brinjal,DAP
39.44,54.94,74.69,34.31,61.27,7.14,45.85,brinjal,Urea
7.13,95.47,65.47,27.6,41.83,6.46,31.67,cotton,Urea
48.59,25.68,28.49,26.15,78.18,6.58,38.68,maize,DAP
71.76,39.99,97.67,36.46,61.35,5.75,71.56,brinjal,NPK 19:19:19
18.46,29.53,79.34,23.7,85.07,6.35,25.22,cotton,Urea
55.02,4.34,63.32,39.03,66.1,7.14,73.05,tomato,DAP
